isc,Voc,FF,PCE,i_Rrad_MPP,i_Rsrh_MPP,i_Raug_MPP,i_RII_MPP,i_RIII_MPP,i_Rrad_OC,i_Rsrh_OC,i_Raug_OC,i_RII_OC,i_RIII_OC,i_Rrad_SC,i_Rsrh_SC,i_Raug_SC,i_RII_SC,i_RIII_SC
284.8103,0.750977677157023,0.261037831645909,5.5832384,0.13000166,8.909408e-05,3.4232932e-05,0.000928624800000001,110.93972,0.379469088,0.000353957872,0.00013929314,42.2544824,242.919848,0.379469088,0.000353957872,0.00013929314,42.2544824,242.919848
318.6594,0.92428708724215,0.501660564554765,14.7755475,0.2908387,0.03593563,64.50814,0.006384961,35.02765,0.6038622,0.0450791692,183.64664,80.5399267999998,53.1563384,0.6038622,0.0450791692,183.64664,80.5399267999998,53.1563384
211.4547,0.711390380760099,0.573092856699579,8.62085472,0.0254945288,2.3450857e-05,0.0367543446,0.00094229264,31.7904748,0.0939696696,8.64937272e-05,0.484480012,1.36609512,209.114684,0.0939696696,8.64937272e-05,0.484480012,1.36609512,209.114684
239.2144,0.766484702328646,0.637023661862898,11.680095,0.0001553071,0.003895376,6.36822e-07,5.604749,0.005077898,0.00138935108,0.0831496396,3.0028196e-05,225.098,13.50604936,0.00138935108,0.0831496396,3.0028196e-05,225.098,13.50604936
170.649,1.1806895051628,0.708661809962145,14.278365,11.47587,0.3905417,0.05298006,0.06934215,0.01212887,160.787756,5.46204964,2.58705916,1.66726188,0.161160928,160.787756,5.46204964,2.58705916,1.66726188,0.161160928
199.6262,0.912415581929823,0.465309067664765,8.475235,1.975037e-05,0.04703481,2.294803e-06,30.07708,2.196729e-05,8.47017948e-05,0.14996504,0.000143447036,189.589492,9.73432008,8.47017948e-05,0.14996504,0.000143447036,189.589492,9.73432008
307.8581,1.01982439140861,0.482952550415962,15.1628362017,0.01429677836,0.00228647025,4.92725509e-05,0.01202455654,28.58781019,0.046787204,0.0074913194,0.00022040554,56.796992,251.02748,0.046787204,0.0074913194,0.00022040554,56.796992,251.02748
252.636,1.04910407965196,0.474104262109202,12.5657285,0.6353815,0.0372805,21.77271,0.7482266,89.87844,0.719439548,0.0410345596,24.463298,103.6315144,131.91164,0.719439548,0.0410345596,24.463298,103.6315144,131.91164
288.6489,1.07501143788757,0.737630886155099,22.8887505,0.002152835,0.02895047,0.02680226,11.07709,0.07452085,0.005084274,0.04876029,0.09130087,208.6181,79.85184,0.005084274,0.04876029,0.09130087,208.6181,79.85184
306.0816,0.50319536682163,0.287755123306985,4.4319711156,0.00741967584,4.18758764e-05,0.030054294,99.7449824,5.503573e-07,0.0165445646,9.33852172e-05,0.0514229818,306.653228,1.15325128e-06,0.0165445646,9.33852172e-05,0.0514229818,306.653228,1.15325128e-06
